Area;Key;Comment;Default language;Comment.fi-FI;.fi-FI;Comment.sv-SE;.sv-SE
Plan;lifecycle__req_landuserestrictionhandlingevent_following_phase;;In the following phases the HandlingEvent Type must be http://uri.suomi.fi/codelist/rytj/alueidenkaytonRajoituksenKasittelytapahtumanLaji/code/02 or http://uri.suomi.fi/codelist/rytj/alueidenkaytonRajoituksenKasittelytapahtumanLaji/code/03;;Seuraavissa vaiheissa käsittelytapahtuman lajin tulee olla http://uri.suomi.fi/codelist/rytj/alueidenkaytonRajoituksenKasittelytapahtumanLaji/code/02 tai http://uri.suomi.fi/codelist/rytj/alueidenkaytonRajoituksenKasittelytapahtumanLaji/code/03;;
Plan;lifecycle__req_only_one_planmatterdecision_handleevent_instance_allowed_subject_appeal_lifecycle;When the value of the PlanMatterPhase class’s life-cycle status attribute is subject to a complaint, and the PlanMatterDecision class is included, there must be one Processing event class.;When the value of the PlanMatterPhase class’s life-cycle status attribute is subject to a complaint, and the PlanMatterDecision class is included, there must be one Processing event class.;;KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvon ollessa valituksen alainen ja KaavaAsianPäätös-luokan ollessa mukana täytyy Käsittelytapahtuma-luokkia olla yksi.;;När attributet för Livscykelstatus i PlanÄrendeSkede-klassen är överklagad och PlanÄrendeBeslut-klassen är med måste det finnas en Handläggningshändelse-klass.
Plan;lifecycle__req_paas_mandatory;The participation and assessment scheme is required in the Preparation life-cycle status and all subsequent life-cycle phases in the PlanMatter class. In the Initiated life-cycle phase, the participation and assessment scheme can be submitted to the Ryhti system, but it is not required. The absence of the participation and assessment scheme does not prevent the local detailed plan from being saved.;In the {0} life-cycle status, the participation and assessment scheme is required in the PlanMatter class.;;OAS pakollinen {0} -elinkaaritilassa KaavaAsia-luokalla.;;OAS obligatoriskt vid livscykelstatus {0} för PlanÄrende-klassen.
Plan;lifecycle__req_period_of_validity_begin_mandatory;After the plan is publicised, the start date of the periodOfValidity is required in the Valid phase. The start date is the date the plan is publicised.;The start date of the {0} class’s periodOfValidity is required in the Valid life-cycle status.;;{0}-luokan voimassaoloAjan alkupäivämäärä on pakollinen Voimassa -elinkaaritilassa.;;{0}-klassens GiltighetTidens startdatum är obligatoriskt vid livscykelstatus I kraft.
Plan;lifecycle__req_period_of_validity_begin_not_allowed;After the plan is publicised, the start date of the periodOfValidity is required in the Valid phase. The start date is the date the plan is publicised.;The start date of the {0} class’s periodOfValidity is only allowed in the life-cycle status {1};;{0}-luokan voimassaoloAjan alkupäivämäärä on sallittu vain elinkaaritilassa {1};;{0}-klassens giltighetTidens startdatum är endast tillåtet för livscykelstatus {1}
Plan;lifecycle__req_period_of_validity_must_not_begin_before_approval_date;;The begin date of the period of validity of the plan class must not be earlier than the approval date.;;Kaava-luokan voimassaoloajan alkamisajankohta ei saa olla aikaisempi kuin hyväksymispäivämäärä.;;
Plan;lifecycle__req_plan_08_planobject_planregulationgrouprelations_planrecommendation_planregulation_08_or_13;When a local detailed plan or a local master plan is in the subject to a complaint life-cycle status while the plan class is included, the life-cycle status of the plan objects and plan regulations can only be either subject to a complaint or valid.;When the Plan class’s life-cycle status attribute is 08, the life-cycle status attribute of the Plan object, Allocation, Plan regulation and Plan recommendation class must be 08 or 13.;;Kaava-luokan elinkaaritila-attribuutin ollessa 08, täytyy Kaavakohde-, Kohdistus- Kaavamääräys- ja Kaavasuositus-luokan elinkaaritila-attribuutin olla 08 tai 13;;När attributet för livscykelstatus i Plan-klassen är 08 måste attributet Livscykelstatus i Planobjekts-, Riktnings-, Planbestämmelse- och Planrekommendations-klassen vara 08 eller 13.
Plan;lifecycle__req_plan_08_plantype_11_or_12_planobject_planregulationgrouprelations_planrecommendation_planregulation_08_or_11;When saving a regional land use plan (plan type 11 or 12) in the subject to a complaint life-cycle status where the plan class is included, the life-cycle status of the plan objects and plan regulations can only be either subject to a complaint or valid before the plan enters into force.;When the Plan class’s life-cycle status attribute is 08 in the plan types 11 and 12, the life-cycle status attribute of the Plan object, Allocation, Plan regulation and Plan recommendation class must be 08 or 11.;;Kaava-luokan elinkaaritila-attribuutin ollessa 08 kaavalajeilla 11 tai 12, täytyy Kaavakohde-, Kohdistus- Kaavamääräys- ja Kaavasuositus-luokan elinkaaritila-attribuutin olla 08 tai 11;;När attributet för livscykelstatus i Plan-klassen är 08 för typ av plan 11 eller 12 måste attributet Livscykelstatus i Planobjekts-, Riktnings-, Planbestämmelse- och Planrekommendations-klassen vara 08 eller 11.
Plan;lifecycle__req_plan_cannot_be_present_if_repealed_lifecycle;;Plan cannot be present if lifecycle is repealed;;Kaava ei saa olla mukana, jos elinkaari on kumottu;;Plan cannot be present if lifecycle is repealed
Plan;lifecycle__req_plan_class_allowed_subject_appeal_lifecycle;In the Plan matter’s subject to a complaint life-cycle phase, the label of the decision class may be 12 (approval of the plan due to a rectification reminder) or 13 (Publicising the plan or a part of it before the plan enters into force).;The Plan class is allowed in the PlanMatterPhase class’s life-cycle status {0} only when the PlanMatterDecision class’s label attribute is {1} or {2};;Kaava-luokka sallittu KaavaAsiaVaihe-luokan elinkaarentilassa {0} ainoastaan, kun KaavaAsianPäätös-luokan nimi-attribuutti on {1} tai {2};;Planklass tillåten i livscykelstatus {0} för klassen PlanÄrendeSkede endast när namnattributet för klassen PlanÄrendeBeslut är {1} eller {2}
Plan;lifecycle__req_plan_class_lifecycle_approved_subject_appeal_lifecycle;The PlanMatter’s life cycle can be subject to a complaint, the life cycle can be subject to a complaint if the label of the plan decision is 12 - Approval of the plan due to a rectification reminder.;The Plan class's life-cycle status attribute must be {0} when the PlanMatterPhase class’s life-cycle status is {1} and the PlanMatterDecision class’s label attribute is {2};;Kaava-luokan elinkaaritila-attribuutin oltava {0} kun KaavaAsianVaihe-luokan elinkaaritila on {1} ja KaavaAsianPäätös-luokan nimi-attribuutti on {2};;Attributet Livscykestatus i Plan-klassen ska vara {0} när Livscykelstatus för PlanÄrendeSkede-klassen är {1} och namn-attributet i PlanÄrendeBeslut-klassen är {2}
Plan;lifecycle__req_plan_class_mandatory_subject_appeal_lifecycle;When the life-cycle phase is subject to a complaint and the label of the plan decision is 12 (Approval of the plan due to a rectification reminder) or 13 (Publicising the plan or a part of it before entering into force), a plan class must also be included.;The Plan class is required in the PlanMatterPhase class’s life-cycle status {0} when the PlanMatterDecision class’s label attribute is {1} or {2};;Kaava-luokka pakollinen KaavaAsiaVaihe-luokan elinkaarentilassa {0} silloin, kun KaavaAsianPäätös-luokan nimi-attribuutti on {1} tai {2};;Planklass obligatorisk i livscykelstatus {0} för klassen PlanÄrendeSkede endast när namnattributet för klassen PlanÄrendeBeslut är {1} eller {2}
Plan;lifecycle__req_plan_validation_not_allowed_lifecycle;Validation of the zoning plan is not possible in the public validation interface with this life-cycle status.;Validation of the zoning plan is not possible in the public validation interface with life-cycle status {0}.;;{0} elinkaaritilasssa kaavasuunnitelman validointi ei ole mahdollista julkisella validointirajapinnalla.;;I livscykelstatusen {0} är det inte möjligt att validera utkastet med ett offentligt valideringsgränssnitt.
Plan;lifecycle__req_plandecision_must_have_cancellation_info_cancels_entire_plan_true_if_phase_repealed_lifecycle;;"If the lifecycle status of a phase of a plan matter has been repealed, the decision of the plan matter to cancels entire plan must be ""true"".";;"Jos kaava-asian vaiheen elinkaaritila on kumoutunut, tulee kaava-asian päätöksen kumoutumistiedon kumoaa kaavan kokonaan olla ""tosi"".";;
Plan;lifecycle__req_plandecision_must_have_cancellation_info_if_plan_not_present_and_valid_or_repealed_lifecycle;;If the plan is not present, the decision on the plan matter must include the repealed information in the valid or repealed lifecycle status.;;Kaava-asian päätöksellä tulee olla kumoutumistieto, jos kaava-luokaa ei ole mukana kaava-asian vaiheen ollessa voimassa tai kumoutunut elinkaaritilassa.;;
Plan;lifecycle__req_planmatterdecision_name_handleevent_type_mismatch_subject_appeal_lifecycle;In the subject to a complaint life-cycle status, the processing event type must correspond to the decision label attribute.;When the value of the PlanMatterPhase class’s life-cycle status attribute is subject to a complaint, the PlanMatterDecision class’s label attribute must correspond with the Processing event class’s type attribute.;;KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvon ollessa valituksen alainen tulee KaavaAsianPäätös--luokan nimi-attribuutin ja Käsittelytapahtuma-luokan laji-attribuutin vastata toisiaan.;;När attributet för Livscykelstatus i PlanÄrendeSkede-klassen är överklagad ska namnattributet för klassen PlanÄrendeBeslut och attributet för Handläggningshändelse-klassen motsvara varandra.
Plan;lifecycle__req_planmatterdecision_name_plantype_subject_appeal_lifecycle;If no previous phases have been saved for the plan, that is, the matter is saved in the Ryhti system for the first time, and the life-cycle status is subject to a complaint. In this case, the plan class must also be included. In this case, the label of the plan decision must be either 12 (Approval of the plan due to a rectification reminder) or 13 (Publicising the plan or a part of it before the plan enters into force).;The PlanMatterDecision class’s label attribute must be 12 or 13 when the value of the PlanMatterPhase class’s life-cycle status attribute is subject to complaint, and the plan type is one of the following 31, 39, 33, 35, 21, 23, 24, 25 or 26;;KaavaAsianPäätös-luokan nimi-attribuutin täytyy olla 12 tai 13, kun KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvo on valituksen alainen ja kaavalajina jokin seuraavista 31, 39, 33, 35, 21, 23, 24, 25 tai 26;;Namnattributet för PlanÄrendeBeslut-klassen ska vara 12 eller 13, när värdet på attributet i Livscykelstatus i PlanÄrendeSkede-klassen är överklagad och Typ av plan är något av följande 31, 39, 33, 35, 21, 23, 24, 25 eller 26
Plan;lifecycle__req_planmatterdecision_name_subject_appeal_lifecycle;In the subject to a complaint life-cycle status, the value of the plan matter decision class’s label attribute can be 12 (approval of the plan due to a rectification reminder), 13 (publicising the plan or a part of it before the plan enters into force) or 15 (approval of responses to a complaint).;The PlanMatterDecision class’s label attribute must be 12, 13 or 15 when the value of the PlanMatterPhase class’s life-cycle status attribute is subject to complaint;;KaavaAsianPäätös-luokan nimi-attribuutin täytyy olla 12, 13 tai 15, kun KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvo on valituksen alainen;;Namnattributet för PlanÄrendeBeslut-klassen ska vara 12, 13 eller 15, när värdet på attributet i Livscykelstatus i PlanÄrendeSkede-klassen är överklagad
Plan;lifecycle__req_planmatterdecision_not_allowed_07_09_lifecycles;Subject to a rectification reminder or subject to a rectification reminder and subject to a complaint not a decision class not allowed.;The PlanMatterDecision class is not allowed when the value of the PlanMatterPhase class’s life-cycle status attribute is 07 or 09.;;KaavaAsianPäätös-luokka ei sallittu, kun KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvo on 07 tai 09.;;PlanÄrendeBeslut-klass är inte tillåten när PlanÄrendeSkede-klassens livscykelstatus attributvärde är 07 eller 09.
Plan;lifecycle__req_plantype_11_12_not_allowed_07_09_lifecycles;The life-cycle status of the regional land use plan (plan type 11 or 12) cannot be subject to a rectification reminder or subject to a rectification reminder and subject to a complaint.;When the values of the PlanMatter class’s plan type attribute are 11 or 12, the PlanMatterPhase class’s life-cycle status attribute cannot be 07 or 09.;;KaavaAsia-luokan kaavalaji-attribuutin arvojen ollessa 11 tai 12, KaavaAsianVaihe-luokan elinkaaritila-attribuutti ei saa olla 07 tai 09;;När värdena på attributet PlanäÄende -klassen är 11 eller 12, får attributet Livscykelstatus i PlanÄrendeSkede-klassen inte vara 07 eller 09.
Plan;lifecycle__req_planusecase_spatialplan_lifecycles_unity;Classes under the Plan class must be in the same Plan class life-cycle status up to the Approved plan life-cycle status. After this, objects under the Plan class may be in the subject to a complaint or cancelled life-cycle status depending on the planning process decisions to be made.;Code value for the Plan class’s life-cycle status attribute not allowed. Must be in the {0} life-cycle status according to the PlanMatter class.;;Kaava-luokan elinkaaritila-attribuutin koodiarvo ei-sallittu. Tulee olla KaavaAsia-luokan mukaisessa {0}-elinkaaritilassa.;;Kodvärdetär inte tillåtet för attributet livscykelstatus i plan-klassen. Ska ha livscykelstauts {0} enligt PlanÄrende-klass.
Plan;lifecycle__req_related_plan_object_must_be_in_lifecycle_valid_13;;Related plan object must be in lifecycle status Valid.;;Liittyvä kaavakohde tulee olla elinkaaritilassa Voimassa.;;
